city_id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
352,grindavik,90,IS,1597861901,93,63.84,-22.43,50.0,4.7
353,erdenet,63,MN,1597861902,84,49.03,104.08,55.71,3.8
354,college,75,US,1597861672,71,64.86,-147.8,59.0,4.7
355,brasilia,20,BR,1597861890,23,-15.78,-47.93,88.0,10.29
356,nampula,20,MZ,1597861904,73,-15.12,39.27,77.0,13.87
357,burns lake,100,CA,1597861905,37,54.23,-125.75,66.04,2.24
358,tvoroyri,100,FO,1597861905,71,61.56,-6.81,55.4,10.29
359,jalu,0,LY,1597861696,18,29.03,21.55,88.39,5.61
360,itupiranga,20,BR,1597861907,41,-5.13,-49.33,95.0,6.93
361,aksarka,0,RU,1597861907,77,66.56,67.8,55.8,14.83
362,ekhabi,100,RU,1597861908,85,53.51,142.97,53.08,19.98
363,fortuna,14,US,1597861909,93,40.6,-124.16,61.0,1.99
364,pedro ii,13,BR,1597861909,20,-4.42,-41.46,93.92,6.46
365,san ignacio,40,BZ,1597861742,66,17.16,-89.07,93.0,4.7
366,krasnoselkup,100,RU,1597861697,92,65.7,82.47,60.17,15.46
367,yabelo,36,ET,1597861911,80,4.88,38.08,60.87,11.14
368,risor,0,NO,1597861912,85,58.72,9.23,66.99,1.01
369,myaundzha,100,RU,1597861913,79,63.05,147.19,41.83,7.61
370,shingu,100,JP,1597861914,84,33.73,135.98,76.87,3.74
371,milkovo,100,RU,1597861916,93,54.72,158.62,49.19,2.13
372,libreville,75,GA,1597861899,78,0.39,9.45,78.8,6.93
373,mehndawal,75,IN,1597861917,100,26.98,83.11,82.4,4.7
374,pemba,40,MZ,1597861918,83,-12.97,40.52,77.0,6.93
375,minuri,100,PH,1597861919,91,16.54,121.86,74.01,2.28
376,marienburg,100,PL,1597861919,73,54.04,19.03,69.01,7.11
377,lyuban,100,BY,1597861920,93,52.8,28.0,64.51,7.94
378,karratha,0,AU,1597861751,38,-20.74,116.85,68.47,7.76
379,bontang,12,ID,1597861922,86,0.13,117.5,75.99,6.02
380,srednekolymsk,43,RU,1597861923,85,67.45,153.68,39.09,6.31
381,krnov,18,CZ,1597861923,88,50.09,17.7,66.0,3.83
